SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
DHARSUGAR, EQ, 30-Aug-2019, 8.00, 8.25, 9.60, 8.00, 9.60, 9.60, 9.16, 277127, 25.39, 623, 104770, 37.81
DHFL, EQ, 30-Aug-2019, 47.25, 47.25, 48.90, 46.50, 47.65, 47.65, 47.74, 10504873, 5014.60, 40775, 1057449, 10.07
DHFL, N4, 30-Aug-2019, 426.75, 426.75, 426.75, 350.08, 350.08, 350.08, 388.42, 4, 0.02, 2, 4, 100.00
DHFL, N6, 30-Aug-2019, 306.10, 305.00, 352.00, 305.00, 352.00, 352.00, 328.50, 100, 0.33, 6, 0, 0.00
DHFL, NA, 30-Aug-2019, 310.00, 315.00, 369.99, 305.00, 329.90, 329.89, 320.78, 140, 0.45, 13, 120, 85.71
DHFL, NC, 30-Aug-2019, 329.95, 300.15, 324.00, 300.15, 324.00, 324.00, 308.10, 3, 0.01, 2, 3, 100.00
DHFL, NF, 30-Aug-2019, 375.00, 375.00, 375.00, 375.00, 375.00, 375.00, 375.00, 8, 0.03, 4, 8, 100.00
DHFL, NN, 30-Aug-2019, 300.01, 305.00, 340.00, 305.00, 340.00, 340.00, 322.50, 2, 0.01, 2, 2, 100.00
DHFL, NP, 30-Aug-2019, 319.18, 322.00, 323.50, 305.25, 306.00, 306.00, 317.09, 61, 0.19, 8, 43, 70.49
DHFL, NQ, 30-Aug-2019, 351.33, 305.02, 349.99, 301.00, 309.99, 310.08, 309.32, 178, 0.55, 19, 129, 72.47
DHFL, NX, 30-Aug-2019, 298.99, 300.00, 300.00, 286.00, 300.00, 300.00, 291.67, 75, 0.22, 7, 75, 100.00
DHUNINV, EQ, 30-Aug-2019, 194.85, 203.05, 233.80, 195.05, 233.80, 228.50, 226.96, 1749, 3.97, 79, 1604, 91.71
DIAMONDYD, EQ, 30-Aug-2019, 737.75, 736.10, 800.00, 736.10, 780.00, 791.20, 771.24, 2110, 16.27, 333, 1155, 54.74
DIAPOWER, BZ, 30-Aug-2019, 0.60, 0.55, 0.65, 0.55, 0.55, 0.55, 0.55, 1919, 0.01, 13, -, -
DICIND, EQ, 30-Aug-2019, 304.30, 309.45, 319.40, 302.65, 304.00, 307.30, 307.32, 1646, 5.06, 93, 1228, 74.61
DIGISPICE, BE, 30-Aug-2019, 7.00, 6.75, 6.75, 6.65, 6.75, 6.70, 6.71, 1103, 0.07, 8, -, -
